Interpolation Weights at U-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indxO   indxR    XIdgO       XIrg      XIdgR     Jdg   indxT    ETAdgO     ETArg      ETAdgT 
0000022  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    52   12271   12272   51.00000   51.00000   52.00000    66   12459   65.50000   65.83333   66.50000
0000023  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    52   12271   12272   51.00000   51.33333   52.00000    66   12459   65.50000   65.83333   66.50000
0000024  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    52   12271   12272   51.00000   51.66667   52.00000    66   12459   65.50000   65.83333   66.50000
0000025  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    53   12272   12273   52.00000   52.00000   53.00000    66   12460   65.50000   65.83333   66.50000
0000026  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    53   12272   12273   52.00000   52.33333   53.00000    66   12460   65.50000   65.83333   66.50000
0000027  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    53   12272   12273   52.00000   52.66667   53.00000    66   12460   65.50000   65.83333   66.50000
0000028  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    54   12273   12274   53.00000   53.00000   54.00000    66   12461   65.50000   65.83333   66.50000
0000029  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    54   12273   12274   53.00000   53.33333   54.00000    66   12461   65.50000   65.83333   66.50000
0000030  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    54   12273   12274   53.00000   53.66667   54.00000    66   12461   65.50000   65.83333   66.50000
0000031  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    55   12274   12275   54.00000   54.00000   55.00000    66   12462   65.50000   65.83333   66.50000
0000032  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    55   12274   12275   54.00000   54.33333   55.00000    66   12462   65.50000   65.83333   66.50000
0000033  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    55   12274   12275   54.00000   54.66667   55.00000    66   12462   65.50000   65.83333   66.50000
0000034  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    56   12275   12276   55.00000   55.00000   56.00000    66   12463   65.50000   65.83333   66.50000
0000035  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    56   12275   12276   55.00000   55.33333   56.00000    66   12463   65.50000   65.83333   66.50000
0000036  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    56   12275   12276   55.00000   55.66667   56.00000    66   12463   65.50000   65.83333   66.50000
0000037  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    57   12276   12277   56.00000   56.00000   57.00000    66   12464   65.50000   65.83333   66.50000
0000038  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    57   12276   12277   56.00000   56.33333   57.00000    66   12464   65.50000   65.83333   66.50000
0000039  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    57   12276   12277   56.00000   56.66667   57.00000    66   12464   65.50000   65.83333   66.50000
0000040  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    58   12277   12278   57.00000   57.00000   58.00000    66   12465   65.50000   65.83333   66.50000
0000041  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    58   12277   12278   57.00000   57.33333   58.00000    66   12465   65.50000   65.83333   66.50000
0000042  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    58   12277   12278   57.00000   57.66667   58.00000    66   12465   65.50000   65.83333   66.50000
0000043  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    59   12278   12279   58.00000   58.00000   59.00000    66   12466   65.50000   65.83333   66.50000
0000044  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    59   12278   12279   58.00000   58.33333   59.00000    66   12466   65.50000   65.83333   66.50000
0000045  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    59   12278   12279   58.00000   58.66667   59.00000    66   12466   65.50000   65.83333   66.50000
0000046  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    60   12279   12280   59.00000   59.00000   60.00000    66   12467   65.50000   65.83333   66.50000
0000047  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    60   12279   12280   59.00000   59.33333   60.00000    66   12467   65.50000   65.83333   66.50000
0000048  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    60   12279   12280   59.00000   59.66667   60.00000    66   12467   65.50000   65.83333   66.50000
0000049  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    61   12280   12281   60.00000   60.00000   61.00000    66   12468   65.50000   65.83333   66.50000
0000050  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    61   12280   12281   60.00000   60.33333   61.00000    66   12468   65.50000   65.83333   66.50000
0000051  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    61   12280   12281   60.00000   60.66667   61.00000    66   12468   65.50000   65.83333   66.50000
0000052  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    62   12281   12282   61.00000   61.00000   62.00000    66   12469   65.50000   65.83333   66.50000
0000053  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    62   12281   12282   61.00000   61.33333   62.00000    66   12469   65.50000   65.83333   66.50000
0000054  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    62   12281   12282   61.00000   61.66667   62.00000    66   12469   65.50000   65.83333   66.50000
0000055  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    63   12282   12283   62.00000   62.00000   63.00000    66   12470   65.50000   65.83333   66.50000
0000056  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    63   12282   12283   62.00000   62.33333   63.00000    66   12470   65.50000   65.83333   66.50000
0000057  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    63   12282   12283   62.00000   62.66667   63.00000    66   12470   65.50000   65.83333   66.50000
0000058  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    64   12283   12284   63.00000   63.00000   64.00000    66   12471   65.50000   65.83333   66.50000
0000059  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    64   12283   12284   63.00000   63.33333   64.00000    66   12471   65.50000   65.83333   66.50000
0000060  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    64   12283   12284   63.00000   63.66667   64.00000    66   12471   65.50000   65.83333   66.50000
0000061  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    65   12284   12285   64.00000   64.00000   65.00000    66   12472   65.50000   65.83333   66.50000
0000062  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    65   12284   12285   64.00000   64.33333   65.00000    66   12472   65.50000   65.83333   66.50000
0000063  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    65   12284   12285   64.00000   64.66667   65.00000    66   12472   65.50000   65.83333   66.50000
0000064  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    66   12285   12286   65.00000   65.00000   66.00000    66   12473   65.50000   65.83333   66.50000
0000065  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    66   12285   12286   65.00000   65.33333   66.00000    66   12473   65.50000   65.83333   66.50000
0000066  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    66   12285   12286   65.00000   65.66667   66.00000    66   12473   65.50000   65.83333   66.50000
0000067  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    67   12286   12287   66.00000   66.00000   67.00000    66   12474   65.50000   65.83333   66.50000
0000068  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    67   12286   12287   66.00000   66.33333   67.00000    66   12474   65.50000   65.83333   66.50000
0000069  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    67   12286   12287   66.00000   66.66667   67.00000    66   12474   65.50000   65.83333   66.50000
0000070  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    68   12287   12288   67.00000   67.00000   68.00000    66   12475   65.50000   65.83333   66.50000
0000071  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    68   12287   12288   67.00000   67.33333   68.00000    66   12475   65.50000   65.83333   66.50000
0000072  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    68   12287   12288   67.00000   67.66667   68.00000    66   12475   65.50000   65.83333   66.50000
0000073  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    69   12288   12289   68.00000   68.00000   69.00000    66   12476   65.50000   65.83333   66.50000
0000074  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    69   12288   12289   68.00000   68.33333   69.00000    66   12476   65.50000   65.83333   66.50000
0000075  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    69   12288   12289   68.00000   68.66667   69.00000    66   12476   65.50000   65.83333   66.50000
0000076  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    70   12289   12290   69.00000   69.00000   70.00000    66   12477   65.50000   65.83333   66.50000
0000077  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    70   12289   12290   69.00000   69.33333   70.00000    66   12477   65.50000   65.83333   66.50000
0000078  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    70   12289   12290   69.00000   69.66667   70.00000    66   12477   65.50000   65.83333   66.50000
0000079  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    71   12290   12291   70.00000   70.00000   71.00000    66   12478   65.50000   65.83333   66.50000
0000080  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    71   12290   12291   70.00000   70.33333   71.00000    66   12478   65.50000   65.83333   66.50000
0000081  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    71   12290   12291   70.00000   70.66667   71.00000    66   12478   65.50000   65.83333   66.50000
0000082  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    72   12291   12292   71.00000   71.00000   72.00000    66   12479   65.50000   65.83333   66.50000
0000083  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    72   12291   12292   71.00000   71.33333   72.00000    66   12479   65.50000   65.83333   66.50000
0000084  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    72   12291   12292   71.00000   71.66667   72.00000    66   12479   65.50000   65.83333   66.50000
0000085  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    73   12292   12293   72.00000   72.00000   73.00000    66   12480   65.50000   65.83333   66.50000
0000086  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    73   12292   12293   72.00000   72.33333   73.00000    66   12480   65.50000   65.83333   66.50000
0000087  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    73   12292   12293   72.00000   72.66667   73.00000    66   12480   65.50000   65.83333   66.50000
0000088  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    74   12293   12294   73.00000   73.00000   74.00000    66   12481   65.50000   65.83333   66.50000
0000089  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    74   12293   12294   73.00000   73.33333   74.00000    66   12481   65.50000   65.83333   66.50000
0000090  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    74   12293   12294   73.00000   73.66667   74.00000    66   12481   65.50000   65.83333   66.50000
0000091  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    75   12294   12295   74.00000   74.00000   75.00000    66   12482   65.50000   65.83333   66.50000
0000092  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    75   12294   12295   74.00000   74.33333   75.00000    66   12482   65.50000   65.83333   66.50000
0000093  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    75   12294   12295   74.00000   74.66667   75.00000    66   12482   65.50000   65.83333   66.50000
0000094  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    76   12295   12296   75.00000   75.00000   76.00000    66   12483   65.50000   65.83333   66.50000
0000095  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    76   12295   12296   75.00000   75.33333   76.00000    66   12483   65.50000   65.83333   66.50000
0000096  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    76   12295   12296   75.00000   75.66667   76.00000    66   12483   65.50000   65.83333   66.50000
0000097  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    77   12296   12297   76.00000   76.00000   77.00000    66   12484   65.50000   65.83333   66.50000
0000098  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    77   12296   12297   76.00000   76.33333   77.00000    66   12484   65.50000   65.83333   66.50000
0000099  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    77   12296   12297   76.00000   76.66667   77.00000    66   12484   65.50000   65.83333   66.50000
0000100  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    78   12297   12298   77.00000   77.00000   78.00000    66   12485   65.50000   65.83333   66.50000
0000101  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    78   12297   12298   77.00000   77.33333   78.00000    66   12485   65.50000   65.83333   66.50000
0000102  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    78   12297   12298   77.00000   77.66667   78.00000    66   12485   65.50000   65.83333   66.50000
0000103  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    79   12298   12299   78.00000   78.00000   79.00000    66   12486   65.50000   65.83333   66.50000
0000104  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    79   12298   12299   78.00000   78.33333   79.00000    66   12486   65.50000   65.83333   66.50000
0000105  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    79   12298   12299   78.00000   78.66667   79.00000    66   12486   65.50000   65.83333   66.50000
0000106  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    80   12299   12300   79.00000   79.00000   80.00000    66   12487   65.50000   65.83333   66.50000
0000107  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    80   12299   12300   79.00000   79.33333   80.00000    66   12487   65.50000   65.83333   66.50000
0000108  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    80   12299   12300   79.00000   79.66667   80.00000    66   12487   65.50000   65.83333   66.50000
0000109  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    81   12300   12301   80.00000   80.00000   81.00000    66   12488   65.50000   65.83333   66.50000
0000110  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    81   12300   12301   80.00000   80.33333   81.00000    66   12488   65.50000   65.83333   66.50000
0000111  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    81   12300   12301   80.00000   80.66667   81.00000    66   12488   65.50000   65.83333   66.50000
0000112  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    82   12301   12302   81.00000   81.00000   82.00000    66   12489   65.50000   65.83333   66.50000
0000113  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    82   12301   12302   81.00000   81.33333   82.00000    66   12489   65.50000   65.83333   66.50000
0000114  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    82   12301   12302   81.00000   81.66667   82.00000    66   12489   65.50000   65.83333   66.50000
0000115  0.00000e+00  0.00000e+00  0.00000e+00  6.66667e-01  6.66667e-01    45   12264   12265   44.00000   44.00000   45.00000    66   12452   65.50000   66.16667   66.50000
0000116  0.00000e+00  0.00000e+00  0.00000e+00  4.44444e-01  4.44444e-01    45   12264   12265   44.00000   44.33333   45.00000    66   12452   65.50000   66.16667   66.50000
0000117  0.00000e+00  0.00000e+00  0.00000e+00  2.22222e-01  2.22222e-01    45   12264   12265   44.00000   44.66667   45.00000    66   12452   65.50000   66.16667   66.50000
0000118  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    46   12265   12266   45.00000   45.00000   46.00000    66   12453   65.50000   66.16667   66.50000
0000119  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    46   12265   12266   45.00000   45.33333   46.00000    66   12453   65.50000   66.16667   66.50000
0000120  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    46   12265   12266   45.00000   45.66667   46.00000    66   12453   65.50000   66.16667   66.50000
0000121  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    47   12266   12267   46.00000   46.00000   47.00000    66   12454   65.50000   66.16667   66.50000
0000122  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    47   12266   12267   46.00000   46.33333   47.00000    66   12454   65.50000   66.16667   66.50000
0000123  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    47   12266   12267   46.00000   46.66667   47.00000    66   12454   65.50000   66.16667   66.50000
0000124  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    48   12267   12268   47.00000   47.00000   48.00000    66   12455   65.50000   66.16667   66.50000
0000125  0.00000e+00  0.00000e+00  2.22222e-01  0.00000e+00  2.22222e-01    48   12267   12268   47.00000   47.33333   48.00000    66   12455   65.50000   66.16667   66.50000
0000126  0.00000e+00  0.00000e+00  4.44444e-01  0.00000e+00  4.44444e-01    48   12267   12268   47.00000   47.66667   48.00000    66   12455   65.50000   66.16667   66.50000
0000127  0.00000e+00  0.00000e+00  0.00000e+00  6.66667e-01  6.66667e-01    49   12268   12269   48.00000   48.00000   49.00000    66   12456   65.50000   66.16667   66.50000
0000128  0.00000e+00  0.00000e+00  0.00000e+00  4.44444e-01  4.44444e-01    49   12268   12269   48.00000   48.33333   49.00000    66   12456   65.50000   66.16667   66.50000
0000129  0.00000e+00  0.00000e+00  0.00000e+00  2.22222e-01  2.22222e-01    49   12268   12269   48.00000   48.66667   49.00000    66   12456   65.50000   66.16667   66.50000
0000130  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    50   12269   12270   49.00000   49.00000   50.00000    66   12457   65.50000   66.16667   66.50000
0000131  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    50   12269   12270   49.00000   49.33333   50.00000    66   12457   65.50000   66.16667   66.50000
0000132  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    50   12269   12270   49.00000   49.66667   50.00000    66   12457   65.50000   66.16667   66.50000
0000133  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    51   12270   12271   50.00000   50.00000   51.00000    66   12458   65.50000   66.16667   66.50000
0000134  0.00000e+00  1.11111e-01  2.22222e-01  0.00000e+00  3.33333e-01    51   12270   12271   50.00000   50.33333   51.00000    66   12458   65.50000   66.16667   66.50000
0000135  0.00000e+00  2.22222e-01  4.44444e-01  0.00000e+00  6.66667e-01    51   12270   12271   50.00000   50.66667   51.00000    66   12458   65.50000   66.16667   66.50000
0000136  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00    52   12271   12272   51.00000   51.00000   52.00000    66   12459   65.50000   66.16667   66.50000
0000137  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00    52   12271   12272   51.00000   51.33333   52.00000    66   12459   65.50000   66.16667   66.50000
0000138  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00    52   12271   12272   51.00000   51.66667   52.00000    66   12459   65.50000   66.16667   66.50000
0000139  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00    53   12272   12273   52.00000   52.00000   53.00000    66   12460   65.50000   66.16667   66.50000
0000140  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00    53   12272   12273   52.00000   52.33333   53.00000    66   12460   65.50000   66.16667   66.50000
0000141  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00    53   12272   12273   52.00000   52.66667   53.00000    66   12460   65.50000   66.16667   66.50000
0000142  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00    54   12273   12274   53.00000   53.00000   54.00000    66   12461   65.50000   66.16667   66.50000
0000143  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00    54   12273   12274   53.00000   53.33333   54.00000    66   12461   65.50000   66.16667   66.50000
0000144  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00    54   12273   12274   53.00000   53.66667   54.00000    66   12461   65.50000   66.16667   66.50000
0000145  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00    55   12274   12275   54.00000   54.00000   55.00000    66   12462   65.50000   66.16667   66.50000
0000146  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00    55   12274   12275   54.00000   54.33333   55.00000    66   12462   65.50000   66.16667   66.50000
0000147  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00    55   12274   12275   54.00000   54.66667   55.00000    66   12462   65.50000   66.16667   66.50000
0000148  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00    56   12275   12276   55.00000   55.00000   56.00000    66   12463   65.50000   66.16667   66.50000
0000149  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00    56   12275   12276   55.00000   55.33333   56.00000    66   12463   65.50000   66.16667   66.50000
0000150  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00    56   12275   12276   55.00000   55.66667   56.00000    66   12463   65.50000   66.16667   66.50000
0000151  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00    57   12276   12277   56.00000   56.00000   57.00000    66   12464   65.50000   66.16667   66.50000
0000152  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00    57   12276   12277   56.00000   56.33333   57.00000    66   12464   65.50000   66.16667   66.50000
0000153  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00    57   12276   12277   56.00000   56.66667   57.00000    66   12464   65.50000   66.16667   66.50000
0000154  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00    58   12277   12278   57.00000   57.00000   58.00000    66   12465   65.50000   66.16667   66.50000
0000155  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00    58   12277   12278   57.00000   57.33333   58.00000    66   12465   65.50000   66.16667   66.50000
0000156  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00    58   12277   12278   57.00000   57.66667   58.00000    66   12465   65.50000   66.16667   66.50000
0000157  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00    59   12278   12279   58.00000   58.00000   59.00000    66   12466   65.50000   66.16667   66.50000
